,Ant,Node,A Priori Status,Auto Metrics Flags,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
123,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_185_report.html"" target=""_blank"">185</a>",N14,digital_ok,1.0,1.0,0.0,-0.15267504941842686,-0.3838609012442678,5.389197638335787,0.9697710327090668,18.70592550499261,0.49663161433653646,13.189061975291711,2.2642566317011195,2.8133092522621155,3.298349440097809
124,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_186_report.html"" target=""_blank"">186</a>",N14,digital_ok,1.0,1.0,0.0,0.5241570698992671,-0.5870896466810472,3.6448546509175035,2.014161425747859,4.087181438266346,2.9934959494175395,9.102573206315649,7.1030852691162325,2.6882338523864746,3.148112177848816
125,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_187_report.html"" target=""_blank"">187</a>",N14,digital_ok,0.0,1.0,0.0,0.7235282752464783,1.2168269880440017,0.3117569580437477,0.05224295185466993,0.4155738144850474,-0.20587598121453765,3.436101352268499,1.89436761181402,0.0,0.0
126,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_189_report.html"" target=""_blank"">189</a>",N15,digital_ok,1.0,1.0,0.0,2.197612044395672,2.966783485647298,0.6606616602945351,0.28094141741279177,9.8823960282553,10.998803347321456,19.580319939244163,18.474800321315794,0.0,0.0
127,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_190_report.html"" target=""_blank"">190</a>",N15,digital_ok,1.0,1.0,0.0,63.35016899625311,22.75290870964755,3.658320403910852,26.99051530835832,13.670164013022687,23.334840397934606,13.920608589123582,9.366384092913167,0.0,0.0
128,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_191_report.html"" target=""_blank"">191</a>",N15,digital_ok,1.0,1.0,0.0,-0.814336045566446,0.3413777312948169,-0.333171391228536,-0.6359166387298156,7.099352999820512,5.785115351823692,13.846885053544522,15.632113752892854,0.0,0.0
129,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_203_report.html"" target=""_blank"">203</a>",N18,RF_maintenance,1.0,1.0,0.0,,,inf,inf,,,,,0.0,0.0
130,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_205_report.html"" target=""_blank"">205</a>",N19,RF_ok,1.0,1.0,0.0,20.05737221194293,20.931807991736047,16.122074775044588,3.1933855717740376,8.447507024077433,9.896745599653686,24.510504363717015,33.063384398382006,0.0,0.0
131,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_206_report.html"" target=""_blank"">206</a>",N19,RF_ok,1.0,1.0,0.0,19.549767434672816,19.51634795045804,4.797791805448082,9.995816839304046,9.612078633128167,8.268568643570534,25.455485666903925,29.36840080202788,0.0,0.0
132,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_207_report.html"" target=""_blank"">207</a>",N19,RF_ok,1.0,1.0,0.0,19.6841527049115,19.970397564901276,18.095388106519597,13.995130303118025,3.8974099351380143,5.987262547788095,9.428512726946515,9.331989976404087,0.0,0.0
133,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_220_report.html"" target=""_blank"">220</a>",N18,RF_ok,1.0,1.0,0.0,,,inf,inf,,,,,0.0,0.0
134,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_221_report.html"" target=""_blank"">221</a>",N18,RF_ok,1.0,1.0,0.0,,,inf,inf,,,,,0.0,0.0
135,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_222_report.html"" target=""_blank"">222</a>",N18,RF_ok,1.0,1.0,0.0,37.23765256041851,37.401370697422585,inf,inf,3148.1948312312443,3659.7534268176023,7585.5063043002765,10232.659096117592,0.0,0.0
136,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_223_report.html"" target=""_blank"">223</a>",N19,RF_ok,1.0,1.0,0.0,19.37126025105037,19.42257326616751,8.653841180664621,5.349106356317564,-0.6511927838089095,35.11939804529608,-0.20089782459650593,15.962618541753752,0.0,0.0
137,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_224_report.html"" target=""_blank"">224</a>",N19,RF_ok,1.0,1.0,0.0,23.11351146791227,22.181181273095177,29.661709759627737,28.899860329028794,9.767507368864043,17.137599023337962,-3.9943568934218896,-4.316919934904678,0.0,0.0
138,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_241_report.html"" target=""_blank"">241</a>",N19,RF_ok,1.0,1.0,0.0,,,inf,inf,,,,,0.0,0.0
139,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_242_report.html"" target=""_blank"">242</a>",N19,RF_ok,1.0,1.0,0.0,,,inf,inf,,,,,0.0,0.0
140,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_243_report.html"" target=""_blank"">243</a>",N19,RF_ok,1.0,1.0,0.0,38.680303543285476,38.77911479342824,inf,inf,4373.263181504882,4463.904193297429,12469.328057831397,12468.55478301629,0.0,0.0
141,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_320_report.html"" target=""_blank"">320</a>",N03,dish_maintenance,1.0,1.0,0.0,21.417875725844382,21.12437536932735,14.912925732627167,15.397579796854822,10.651617893434226,19.007215247310352,5.89706674587748,3.5074216518546337,0.0,0.0
142,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_321_report.html"" target=""_blank"">321</a>",N02,not_connected,1.0,1.0,0.0,1.9612541694767394,1.082141644289863,14.602351971316457,13.001965121592965,10.001879281082742,10.276850965248274,31.37678095648465,30.798655008613828,0.0,0.0
143,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_323_report.html"" target=""_blank"">323</a>",N02,not_connected,1.0,1.0,0.0,34.01017042029801,1.1266829705561054,3.019850704783651,17.742162474761688,7.045783909444613,4.469834362553941,6.260115089036961,2.4271910728867447,0.0,0.0
144,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_324_report.html"" target=""_blank"">324</a>",N04,not_connected,1.0,1.0,0.0,3.2699380724237606,2.361812214439637,20.19564543736814,12.220528058794441,2.1399970678790585,1.921773994950264,-1.2725072402031854,-0.40193429451630336,0.0,0.0
145,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_329_report.html"" target=""_blank"">329</a>",N12,dish_maintenance,1.0,1.0,0.0,8.403583438891818,-1.4735438614676613,0.5205846071668745,12.399349581885032,5.177096093578624,1.749725260782105,1.3689913267308138,-0.5185372937629595,0.0,0.0
146,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_333_report.html"" target=""_blank"">333</a>",N12,dish_maintenance,1.0,1.0,0.0,6.240754523943806,0.3501698481205454,0.46380916347706225,11.391008010008472,2.4786557302015266,1.3698207574025658,1.3387618276528335,-0.07832890428777972,0.0,0.0
